Ticker (10Y Data),Dividends Count (Per Year),Latest Dividend,Years Dividend Unpaid,Dividend Percentage Increasing Or Decreasing,All Years Avg Dividend,Dividend Yield (%),Price-to-Earnings Ratio,Free Cash Flow (Million $)
PFG,4.0,0.67,0,Decreasing,0.49,1.07,56.47,14865.25
PGR,2.45,0.1,0,Decreasing,0.73,2.08,98.41,1329.3985
PG,4.0,0.941,0,Decreasing,0.74,0.86,131.79,2253.56775
PHM,3.91,0.2,0,Decreasing,0.11,0.36,46.44,654.2
PH,4.0,1.48,0,Decreasing,0.82,0.49,255.26,3858.13375
PKG,4.0,1.25,0,Decreasing,0.76,0.9,114.68,9509.5
PLD,4.0,0.87,0,Decreasing,0.52,0.87,102.09,7766.75
PM,4.0,1.3,0,Decreasing,1.11,1.69,79.88,471.425
PNC,4.0,1.55,0,Decreasing,0.89,0.85,137.44,-519.6005
PNR,4.0,0.22,0,Decreasing,0.2,0.49,50.01,-68.775
PNW,4.0,0.88,0,Decreasing,0.71,1.25,69.27,480.26975
PODD,0.0,0.0,11,Decreasing,,,222.01,1331.0
POOL,4.0,1.1,0,Decreasing,0.51,0.31,317.58,-71.0
PPG,4.0,0.65,0,Decreasing,0.46,0.45,128.46,7462.0
PPL,4.0,0.24,0,Decreasing,0.36,1.57,25.24,2397.275
PRU,4.0,1.25,0,Decreasing,0.88,1.26,78.65,4144.5
PSA,4.09,3.0,0,Decreasing,2.12,1.15,236.36,385.4335
PSX,4.0,1.05,0,Decreasing,0.74,1.08,78.45,723.943
PTC,0.0,0.0,11,Decreasing,,,116.5,4892.25
PWR,1.91,0.09,5,Decreasing,0.06,0.09,97.17,7434.5
PYPL,0.0,0.0,9,Decreasing,,,136.92,835.22675
QCOM,4.0,0.8,0,Decreasing,0.58,0.84,108.72,-2863.446
QRVO,0.0,0.0,9,Decreasing,,,125.1,3899.625
RCL,2.64,0.0,0,Decreasing,0.49,0.64,81.19,633.478
REGN,0.0,0.0,11,Decreasing,,,576.11,2547.0
REG,4.0,0.67,0,Decreasing,0.55,1.15,53.27,1704.0
RF,4.0,0.24,0,Decreasing,0.11,0.9,15.86,480.125
RJF,4.0,0.45,0,Decreasing,0.21,0.39,76.97,665.1765
RL,3.73,0.75,0,Decreasing,0.59,0.6,100.18,1010.85
RMD,4.0,0.48,0,Decreasing,0.35,0.39,185.94,429.5925
ROK,4.0,1.25,0,Decreasing,0.88,0.58,230.16,1506.95
ROL,4.0,0.15,0,Decreasing,0.07,0.38,34.19,1452.1225
ROP,3.91,0.683,0,Decreasing,0.41,0.15,408.29,1617.525
ROST,3.73,0.335,0,Decreasing,0.21,0.28,101.86,3844.5
RSG,4.0,0.535,0,Decreasing,0.37,0.61,108.24,689.33875
RTX,4.0,0.59,0,Decreasing,0.45,0.69,77.43,1108.15525
RVTY,4.0,0.07,0,Increasing,0.07,0.1,132.77,2716.1
SBAC,1.64,0.85,6,Decreasing,0.6,0.23,265.65,6849.0
SBUX,4.0,0.57,0,Decreasing,0.32,0.5,86.84,2221.575
SCHW,4.0,0.25,0,Decreasing,0.13,0.31,59.6,834.25
SHW,4.0,0.605,0,Decreasing,0.36,0.26,223.76,2937.0
SJM,4.0,1.06,0,Decreasing,0.8,0.8,114.14,32.76775
SLB,4.0,0.25,0,Decreasing,0.36,0.76,34.72,872.425
SMCI,0.0,0.0,11,Decreasing,,,80.65,1335.17575
SNA,4.0,1.86,0,Decreasing,0.92,0.61,197.09,1683.25
SNPS,0.0,0.0,11,Decreasing,,,268.67,-1331.25
SO,4.0,0.7,0,Decreasing,0.6,1.48,56.15,2801.534
SPGI,4.0,0.9,0,Decreasing,0.54,0.31,329.68,-2413.0
SPG,4.0,1.9,0,Decreasing,1.62,1.54,101.55,463.888
SRE,4.0,0.595,0,Decreasing,0.45,0.91,63.19,1600.0995
STE,4.0,0.52,0,Decreasing,0.33,0.34,180.05,1636.25
STLD,4.0,0.425,0,Decreasing,0.21,0.66,58.71,923.5
STT,4.0,0.69,0,Decreasing,0.45,0.71,66.2,1713.225
STX,3.91,0.7,0,Decreasing,0.61,1.59,59.06,1115.275
STZ,3.18,0.89,2,Decreasing,0.64,0.35,205.45,170.175
SWKS,3.55,0.68,1,Decreasing,0.39,0.42,111.42,662.912275259763
SWK,4.0,0.81,0,Decreasing,0.64,0.64,124.68,7468.25
SYF,3.0,0.25,2,Decreasing,0.2,0.67,32.45,1391.046
SYK,4.0,0.8,0,Decreasing,0.5,0.34,226.32,1104.975
SYY,4.0,0.5,0,Decreasing,0.38,0.79,67.93,995.25
TAP,3.55,0.41,0,Decreasing,0.41,0.78,48.4,596.475
TDG,0.73,35.0,0,Decreasing,25.39,12.32,602.21,239.46225
TDY,0.0,0.0,11,Decreasing,,,370.46,1879.5
TECH,4.0,0.08,0,Decreasing,0.08,0.23,83.72,622.52875
TEL,4.0,0.59,0,Decreasing,0.42,0.54,109.98,8556.5
TER,3.55,0.11,1,Decreasing,0.08,0.2,91.13,401.915
TFC,4.18,0.52,0,Decreasing,0.36,1.07,39.94,3815.5
TFX,4.0,0.34,0,Increasing,0.34,0.2,307.47,2869.106
TGT,4.0,1.1,0,Decreasing,0.67,0.83,158.09,6860.5
TJX,3.73,0.333,0,Decreasing,0.18,0.39,62.87,-1068.5
TMO,4.0,0.35,0,Decreasing,0.2,0.09,452.47,976.175
TMUS,0.18,0.65,0,Decreasing,2.36,9.48,115.79,1115.85
TPR,3.55,0.35,0,Decreasing,0.32,1.08,30.0,555.675
TRGP,4.0,0.5,0,Decreasing,0.63,1.64,49.81,1987.55
TRMB,0.0,0.0,11,Decreasing,,,60.41,6992.25
TROW,4.18,1.22,0,Decreasing,0.82,0.94,117.6,693.6405
TRV,4.0,1.0,0,Decreasing,0.74,0.67,142.19,4523.25
TSCO,4.0,1.03,0,Decreasing,0.4,0.35,177.21,1479.75
TSLA,0.0,0.0,11,Decreasing,,,171.09,145.475
TSN,4.0,0.49,0,Decreasing,0.29,0.51,63.85,1488.8
TTWO,0.0,0.0,11,Decreasing,,,146.56,4764.0
TT,4.0,0.75,0,Decreasing,0.41,0.49,140.01,918.0
TXN,4.0,1.3,0,Decreasing,0.7,0.79,152.24,325.37475
TXT,4.0,0.02,0,Increasing,0.02,0.04,58.03,21681.5
TYL,0.0,0.0,11,Decreasing,,,360.85,-1228.25
T,4.0,0.278,0,Decreasing,0.46,3.03,16.58,-88.0
UAL,0.0,0.0,11,Decreasing,,,53.28,508.0035
UBER,0.0,0.0,5,Decreasing,,,38.16,610.19
UDR,4.0,0.42,0,Decreasing,0.32,1.07,39.33,939.08875
UHS,3.73,0.2,0,Decreasing,0.13,0.11,126.66,22274.5
ULTA,0.0,0.0,11,Decreasing,,,349.51,5556.0
UNH,4.0,1.88,0,Decreasing,0.94,0.42,414.3,7568.75
UNP,4.0,1.3,0,Decreasing,0.81,0.62,188.21,842.0
UPS,4.0,1.62,0,Decreasing,0.97,0.93,142.05,10788.0
URI,0.36,1.48,10,Decreasing,1.48,0.35,265.92,1473.30275
USB,4.0,0.49,0,Decreasing,0.35,0.94,41.17,5641.25
VICI,4.0,0.415,0,Decreasing,0.33,1.54,25.06,888.0
VLO,4.0,1.02,0,Decreasing,0.71,1.18,84.58,617.15
VMC,4.0,0.43,0,Decreasing,0.25,0.19,157.22,763.172
VRSK,1.82,0.34,6,Decreasing,0.29,0.16,178.88,3151.575
VRSN,0.0,0.0,11,Decreasing,,,203.17,950.0
VRTX,0.0,0.0,11,Decreasing,,,250.9,1973.2
VST,2.62,0.213,0,Decreasing,0.52,4.02,21.24,664.4095
VTRS,1.0,0.12,8,Decreasing,0.12,1.09,13.4,3662.5
VTR,4.09,0.45,0,Decreasing,0.66,1.46,45.36,15450.25
VZ,4.0,0.665,0,Decreasing,0.59,1.65,41.84,873.75
V,4.0,0.52,0,Decreasing,0.24,0.18,200.34,516.87825
WAB,4.0,0.17,0,Decreasing,0.1,0.13,82.21,2648.0
WAT,0.0,0.0,11,Decreasing,,,274.19,3560.0
WBA,4.0,0.48,0,Decreasing,0.41,0.99,36.65,-125.0
WBD,0.0,0.0,11,Decreasing,,,22.08,2.1
WDC,2.64,0.0,0,Decreasing,0.45,0.79,49.14,1363.159
WEC,4.09,0.78,0,Decreasing,0.55,0.97,82.0,14483.0
WELL,4.0,0.61,0,Decreasing,0.76,1.43,68.67,2724.0
WFC,4.0,0.35,0,Decreasing,0.34,0.87,37.99,15997.25
WMB,4.0,0.448,0,Decreasing,0.42,1.96,23.18,1994.5
WMT,4.0,0.19,0,Decreasing,0.17,0.61,45.06,2271.9865
WM,4.0,0.7,0,Decreasing,0.49,0.67,130.27,370.65
WRB,4.36,0.406667,0,Decreasing,0.12,0.53,33.27,1264.75
WST,4.0,0.2,0,Decreasing,0.14,0.14,274.46,-403.72375
WTW,4.0,0.84,0,Decreasing,0.7,0.51,203.94,1553.5
WYNN,3.0,0.25,0,Decreasing,0.84,0.74,96.46,-1452.25
WY,4.09,0.9,0,Decreasing,0.3,1.22,29.13,31319.75
XEL,4.0,0.52,0,Decreasing,0.39,0.98,59.23,481.25
XOM,4.0,0.95,0,Decreasing,0.79,1.36,66.74,1271.75
XYL,4.0,0.33,0,Decreasing,0.21,0.36,90.96,1185.175
YUM,4.0,0.605,0,Decreasing,0.4,0.53,107.48,556.75
ZBH,4.0,0.24,0,Decreasing,0.23,0.21,127.19,1589.0
