Ticker (10Y Data),Dividends Count (Per Year),Latest Dividend,Years Dividend Unpaid,Dividend Percentage Increasing Or Decreasing,All Years Avg Dividend,Dividend Yield (%),Price-to-Earnings Ratio,Free Cash Flow (Million $)
BAC,4.0,0.24,0,Decreasing,0.12,0.5,31.38,17363.75
BALL,4.0,0.2,0,Decreasing,0.12,0.25,68.3,-44.75
BAX,4.0,0.29,0,Decreasing,0.23,0.49,65.76,1078.75
BA,2.64,0.0,0,Decreasing,1.31,0.71,199.92,-4346.5
BBWI,3.64,0.2,0,Decreasing,0.4,1.2,33.25,1126.25
BBY,4.0,0.92,0,Decreasing,0.49,0.98,76.84,2074.5
BDX,4.0,0.95,0,Decreasing,0.72,0.42,235.17,2500.0
BEN,3.91,0.3,0,Decreasing,0.3,1.17,23.73,1250.5
BG,4.0,0.663,0,Decreasing,0.46,0.75,71.41,2349.975
BIIB,0.0,0.0,11,Decreasing,,,267.89,327.66975
BIO,0.0,0.0,11,Decreasing,,,471.95,3875.0
BKNG,0.0,0.0,11,Decreasing,,,2143.99,1146.25
BKR,4.09,0.2,0,Decreasing,0.49,1.73,23.03,5963.25
BK,4.0,0.42,0,Decreasing,0.26,0.68,41.49,1688.31475
BLDR,0.0,0.0,11,Decreasing,,,64.39,4099.0
BLK,4.0,5.0,0,Decreasing,3.14,0.75,600.85,13283.0
BMY,4.0,0.57,0,Decreasing,0.43,0.89,55.4,793.875
BRO,4.0,0.13,0,Decreasing,0.08,0.28,55.5,1266.25
BR,4.0,0.8,0,Decreasing,0.45,0.54,137.77,635.0
BSX,0.0,0.0,11,Decreasing,,,42.48,1218.4965
BWA,3.82,0.149648,0,Decreasing,0.13,0.38,34.57,3919.8495
BXP,4.0,0.98,0,Decreasing,1.01,1.24,83.51,983.825
BX,4.0,0.91,0,Decreasing,0.64,1.87,72.78,2607.75
CAG,4.0,0.35,0,Decreasing,0.24,0.9,29.07,1700.25
CAH,4.0,0.501,0,Decreasing,0.44,0.83,56.29,5974.5
CAT,3.91,1.3,0,Decreasing,0.89,0.8,176.9,1315.551
CBOE,4.0,0.55,0,Decreasing,0.33,0.41,115.57,11206.5
CBRE,0.0,0.0,11,Decreasing,,,70.29,1549.75
CB,4.0,0.86,0,Decreasing,0.72,0.59,171.27,-5812.5
CCI,3.64,1.565,1,Decreasing,1.1,1.16,137.63,1052.1345
CCL,2.64,0.0,0,Decreasing,0.38,1.01,23.85,1124.875
CDNS,0.0,0.0,11,Decreasing,,,138.22,-3898.75
CDW,3.73,0.62,0,Decreasing,0.27,0.28,150.38,1219.0
CE,4.0,0.7,0,Decreasing,0.48,0.54,114.05,2230.0
CFG,3.7,0.42,0,Decreasing,0.27,0.96,31.28,819.975
CF,4.0,0.4,0,Decreasing,0.29,0.76,60.79,659.681
CHD,4.0,0.273,0,Decreasing,0.21,0.39,80.89,6220.5
CHRW,4.09,0.61,0,Decreasing,0.47,0.68,87.63,1877.0
CHTR,0.0,0.0,11,Decreasing,,,522.28,8223.5
CINF,4.18,0.75,0,Decreasing,0.55,0.86,94.64,723.25
CI,1.82,1.23,0,Decreasing,0.33,0.15,218.72,2741.75
CLX,4.0,1.2,0,Decreasing,0.93,0.83,149.73,13949.75
