Ticker,Final_Score
DG,5192.0
MS,5174.5
PNW,4989.0
EVRG,4935.0
LNT,4880.0
LHX,4864.0
BAC,4768.5
GS,4763.5
SYF,4702.5
NTRS,4697.5
BXP,4612.0
VTR,4608.0
BK,4576.5
AMGN,4575.0
AKAM,4552.0
AEE,4534.0
IRM,4515.0
RCL,4501.0
KEY,4498.5
STT,4489.5
EL,4473.0
WFC,4464.5
EXPE,4439.0
RTX,4437.0
BEN,4436.0
CCL,4413.0
EIX,4398.0
WEC,4393.0
HD,4388.0
MKTX,4365.0
SCHW,4363.5
DUK,4362.0
BAX,4355.0
