Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover
CVX,1.2953830618856927,1.0409935482186157,0.20809145693104358,0.17107002389571072,0.1214918503078785,0.14351118082128606,0.1057947527555749,0.06535168468542595,0.09324300962046636,0.2885047540686735,0.6777219420400331,6.672212629214015,9.52289481455401
CZR,1.2716634126810549,1.2555003415205075,5.784041532747346,1.4695283799165604,0.7321026056873927,2.693815385852224,-0.16164263216583186,-0.01958508915542955,-0.03884203913957383,0.5096216800268589,0.25490111134894794,95.72619486261712,16.88861203618402
C,0.0,0.0,1.5119718348792952,0.6476761673576631,0.1306834818329078,0.20319107893949317,0.07044586112115737,0.0061092105733266755,0.029449390653338525,0.0,0.0321195124650014,0.0,1.4632879253406363
DAL,0.6858267411554559,0.6350855102032775,9.800599186029359,1.1284351600856781,0.4415601882020965,5.75960569318303,-1.8465868194578805,-0.02183542467040255,-0.050505482742292274,-0.01552362229565861,0.5345075978811152,0.9694884398095467,14.788724836197966
DAY,1.0904195091263265,0.0,0.4952538226098622,0.3328537135448424,0.13917928296658227,0.3040589254675926,-0.011925539146813649,-0.0034273814962894,-0.007692014242413475,0.3962960725454345,0.14596807426834968,0.0,8.490497665113795
DD,2.679433112541578,2.195510341438651,0.3525296171999226,0.2640814898868519,0.21302724642001317,0.2598396063274103,0.09946236439380803,0.06318351892122434,0.07546012048082873,0.35195876375538027,0.27623408017088386,2.0435732015259074,7.9571794524273844
DECK,3.4983903643326744,2.6834528915121623,0.14124468644984242,0.14124468644984242,0.09491269040437647,0.0,0.30292693191673226,0.20367361987163912,0.30292693191673226,0.5274102942553001,1.3278972744323394,4.14137370294191,12.174276469026836
DE,2.0209671061744605,1.7919441779850247,2.9230945768061583,0.9980032754474015,0.5967792015032781,2.513421776215556,0.33770107628456497,0.07110066535666777,0.08856646254985764,0.3270910405316322,0.5306089675934537,2.1835540364051345,8.584098232355373
DFS,0.0,0.0,1.5751399851977974,0.6204105140186386,0.166272015249312,0.7490735802730768,0.25310690545741493,0.027975858933459222,0.10446955741340075,0.0,0.1032837604468308,0.0,12.465332121796536
DGX,1.454016443829107,1.3358436694236935,0.7666239142419151,0.47337281240119633,0.3631955237701454,0.5514956391173271,0.20055788196782767,0.09579873997671176,0.12279927105776298,0.3631191585171933,0.7237800847802394,17.618921532417406,7.406803185304997
DG,1.1859114953274537,0.17440606279832407,2.5456616013888658,1.356362492786113,0.5653281936271033,0.7945624357254839,0.36595771425805135,0.08270169706967652,0.1973187438273023,0.3122049094831136,1.290577560931657,1.84812532244753,0.0
DHI,13.920131397587113,3.9514307959484727,0.3114648793309713,0.24040047015950522,0.20366228226415659,0.12001364527170508,0.24285262075286007,0.15950774904459167,0.18843523039316423,0.2760195281725215,1.1054686672398644,0.44609095131966453,0.0
DHR,1.718333811801032,1.3951631063219496,0.4623735176961713,0.3214521918525611,0.2616506365196366,0.3306315122510968,0.1167601988717879,0.06676472075537625,0.08393186622694748,0.5923191599834738,0.29734338062952903,5.553760491737663,5.862768625788267
DIS,1.1149662014211938,1.0586572370673955,0.5281473489474747,0.39799608099389183,0.2711352104211548,0.3545301147138162,0.009998417947463926,0.005620859195672999,0.007976684426488273,0.3339822035789269,0.37355114587717675,15.429384502162605,7.051008473047537
DLR,0.42260696903756406,0.0,0.8577209941596078,0.5191263044770134,0.4215901242540459,0.7557948415899316,0.04399729572842988,0.021872305116506625,0.02631908791476905,0.5765337050298162,0.11680184818888474,0.0,7.030492520078348
DLTR,1.3774201051223716,0.2917550474312179,1.2980923867290213,0.9028737776309977,0.459068341993701,0.31396530322897787,0.10107434861927972,0.03770117943693735,0.0716614440427761,0.3048943251590476,1.2661351887328203,1.8772975812794215,
DOC,0.8488693416382943,0.0,0.9291644401733808,0.5433565988343964,0.4252726793021009,0.8875112584266114,0.05997140578186742,0.027583868416317648,0.033193240824509404,0.5710400235738519,0.12430480697246032,0.0,38.875642933088386
DOV,1.2997119193892626,0.8242878376241998,0.8470220534086734,0.48930122332330955,0.33954184306060203,0.6973027781512278,0.23140182257677444,0.09339896586301766,0.1290040883755893,0.36784345028569987,0.7536711152995443,2.5530581542147166,5.811631653575477
DOW,1.7176257722944088,1.1432358123895983,0.9931032511285502,0.5419273039415167,0.2813386881700503,0.6383821501790528,0.16936438685709623,0.05147167464690177,0.09679677370762288,0.14768524127523605,0.8020911795934083,1.100497825461622,8.801539292982952
DPZ,1.5674550209574507,1.4272356471535006,-1.2777223502879353,6.452816086660207,3.083474688878703,-1.1780281480712491,-0.12640560398685138,0.3027605333651927,0.6015201010468274,0.38092426890913145,2.684965703675329,22.41291622669305,16.84030912685508
DRI,0.6352399299478649,0.5025407892224785,2.1676805645681676,1.491143468039159,0.4794639230607437,0.35761003672580705,0.3903503971018052,0.08492169294238221,0.26506176275988996,0.20624115401449988,0.9138418480689252,7.683335979774099,240.6454117264646
DTE,0.8080463899283423,0.6181558519992643,1.8497145704315636,0.7133038027545235,0.45244497841773906,1.8273119292319744,0.11081409610378318,0.0273728712721607,0.039281803168366554,0.26006416015359435,0.34077002830331876,4.1296559501919665,7.803808721537763
DUK,0.6489528705682157,0.44201487730875433,1.4197833631831713,0.638551257018258,0.4176814641593861,1.3879964806962932,0.052551582911236294,0.015475847688735073,0.022641457011071002,0.47399551231081105,0.15372302329885645,3.563532254383027,6.987983719629299
DVA,1.2460868330165373,1.1996658595632255,4.570282575351505,1.228842519837428,0.6786891659762799,3.2658229869927027,0.29592793790266697,0.044181452577519424,0.07857507185358405,0.30744827394796,0.6907425233529987,30.927628019977426,5.955614580767033
DVN,1.490994650731568,1.1713303184507085,0.8356027329071434,0.4524781740278395,0.33110402009174233,0.521379294820787,0.06269228644317235,0.06749694346789478,0.08822296416998925,0.29273560336645177,0.6246914152841656,31.82098753747643,9.123027159446451
DXCM,3.3168744522343894,2.976178603786213,1.1056288289215186,0.5855325500082068,0.4164427203251185,0.6603157981352952,0.1760126584295699,0.06456280879923997,0.08577944839992208,0.6551292648869088,0.5380762658890949,4.977816555241633,4.186521728301713
