Ticker,Avg Stock Price All Time,Stock Trend,Average Returns % (Mean),Standard Deviation,"Cov (Stock, Market)",Variance (Market),Beta,"R2_score (Indicators: GDP, Inf, Unemp, CCI)"
BXP,84.98,Increasing,-0.36,16.25,0.0119,0.0264,0.45,0.8597349921971378
BX,44.22,Decreasing,25.61,30.3,0.032,0.0918,0.35,0.9570326078975804
CAG,26.44,Increasing,6.21,13.81,-0.0014,0.0191,-0.07,0.9358356879151424
CAH,54.72,Decreasing,10.66,21.06,-0.0011,0.0443,-0.02,0.8781532078558905
CAT,124.74,Decreasing,16.43,22.6,0.0193,0.0511,0.38,0.9551320270127266
CBOE,85.17,Increasing,16.51,15.15,0.0093,0.0229,0.41,0.974242711442371
CBRE,50.11,Decreasing,15.54,25.43,0.0294,0.0647,0.45,0.9447267714549276
CB,128.78,Decreasing,11.46,11.52,0.0081,0.0133,0.61,0.9746202379434227
CCI,94.7,Decreasing,9.56,14.98,0.0065,0.0225,0.29,0.9456043462858782
CCL,34.7,Decreasing,-2.53,27.84,0.0193,0.0775,0.25,0.9807121296214388
CDNS,76.71,Decreasing,33.09,16.72,0.0094,0.0279,0.34,0.9563496888602008
CDW,91.41,Decreasing,26.56,15.63,0.0158,0.0244,0.65,0.9748218814735928
CE,85.65,Increasing,13.12,20.37,0.0229,0.0415,0.55,0.9609320791221854
CF,43.69,Decreasing,16.63,38.65,0.0182,0.1494,0.12,0.9540161884361512
CHD,57.78,Decreasing,13.35,8.86,-0.0008,0.0078,-0.1,0.9825848943794895
CHRW,70.28,Increasing,7.54,8.85,0.0044,0.0078,0.56,0.9835698961772561
CHTR,346.14,Decreasing,16.01,24.88,0.0132,0.0619,0.21,0.927118797012419
CINF,69.58,Decreasing,13.1,18.38,0.0092,0.0338,0.27,0.9751782799632638
CI,167.0,Decreasing,16.29,16.08,0.0064,0.0258,0.25,0.9730102818572918
CLX,117.83,Decreasing,9.51,13.68,-0.0033,0.0187,-0.18,0.9544681012751791
CL,61.67,Decreasing,4.91,5.41,0.0022,0.0029,0.76,0.9399310104954669
CMCSA,32.45,Increasing,10.06,15.61,0.0137,0.0244,0.56,0.9603630734257466
CME,121.52,Increasing,16.37,13.72,0.0083,0.0188,0.44,0.9912580443098192
CMG,17.56,Decreasing,21.71,32.89,0.0137,0.1082,0.13,0.9465977001496294
CMI,146.83,Decreasing,10.97,16.65,0.0139,0.0277,0.5,0.9534117553732252
CMS,41.15,Decreasing,11.84,9.73,-0.0017,0.0095,-0.18,0.9788669174467897
CNC,48.73,Increasing,21.05,27.13,0.007,0.0736,0.1,0.9806010006112198
CNP,20.86,Increasing,7.63,17.67,0.0066,0.0312,0.21,0.9686682308626309
COF,82.58,Decreasing,10.76,32.19,0.0376,0.1036,0.36,0.8959169810355457
COO,62.97,Decreasing,12.61,14.08,0.013,0.0198,0.66,0.9741152934455313
COP,55.21,Decreasing,14.02,33.87,0.0089,0.1147,0.08,0.9655122779120372
COR,94.23,Decreasing,15.27,17.61,0.0052,0.031,0.17,0.9499029037945311
COST,249.09,Decreasing,19.65,9.49,0.0034,0.009,0.38,0.971207950810181
CPAY,192.47,Increasing,11.5,17.98,0.0063,0.0323,0.2,0.9671343254581997
CPB,39.25,Increasing,4.93,13.51,-0.0078,0.0183,-0.43,0.8905749840897946
CPRT,17.0,Decreasing,27.59,20.08,0.0054,0.0403,0.13,0.9584363401627618
