Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover,GDP,Inflation,Unemployment,CCI
AAL,0.77933,0.797,0.97095,0.78588,0.76595,0.97098,0.87345,0.90951,0.9123,0.94853,0.97176,0.95331,0.86672,0.26509,0.25113,0.24285,0.24093
AAPL,0.89947,0.90857,0.72138,0.84202,0.81589,0.80565,0.90539,0.91024,0.91431,0.908,0.91094,0.775,0.8653,0.21879,0.2198,0.23272,0.3287
ABBV,0.83506,0.84931,0.74069,0.82065,0.9228,0.82916,0.73009,0.62281,0.69106,0.82418,0.90257,0.68145,0.84704,0.23295,0.224,0.21153,0.33152
ABNB,0.735,1.0,0.7398,0.675,0.739,1.0,0.807,0.726,0.739,0.663,0.6536,1.0,0.7566,0.15154,0.23089,0.17168,0.21512
ABT,0.86287,0.84875,0.92295,0.86715,0.92338,0.83752,0.6827,0.78776,0.71546,0.88899,0.82487,0.7806,0.79067,0.23634,0.26559,0.26928,0.22879
ACGL,1.0,1.0,0.81262,0.77516,0.87326,0.74004,0.72382,0.6182,0.67884,1.0,0.84204,1.0,0.66291,0.18265,0.16066,0.21613,0.13287
ACN,0.76408,1.0,0.93386,0.94105,0.93629,1.0,0.79001,0.5277,0.64451,0.6946,0.8939,1.0,0.89022,0.18116,0.18029,0.19549,0.21229
ADBE,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
ADI,0.76933,0.74897,0.87296,0.8148,0.79595,0.80899,0.67468,0.85294,0.74871,0.75917,0.72555,0.62571,0.7876,0.23749,0.22698,0.27403,0.2615
ADM,0.77908,0.81169,0.93893,0.92559,0.91961,0.92129,0.92105,0.94977,0.9254,0.91914,0.96424,0.90573,0.80211,0.24255,0.27343,0.25425,0.22977
ADP,0.85147,1.0,0.84714,0.8558,0.81366,0.83048,0.88402,0.85261,0.88509,0.87431,0.79037,1.0,0.73946,0.19442,0.18451,0.21689,0.25033
ADSK,0.66681,1.0,0.86913,0.84174,0.86749,0.80777,0.91508,0.8594,0.80947,0.76108,0.70155,1.0,0.74014,0.2181,0.23736,0.17381,0.21688
AEE,0.64692,0.68002,0.92036,0.89902,0.92088,0.86403,0.8389,0.96907,0.90702,0.81186,0.7864,0.84363,0.55114,0.23744,0.23328,0.23334,0.29594
AEP,0.66863,0.76585,0.90509,0.83519,0.94779,0.93135,0.93332,0.92616,0.947,0.89356,0.84902,0.75976,0.94097,0.22629,0.23722,0.23834,0.29815
AES,0.65777,0.75334,0.87129,0.85263,0.92534,0.85565,0.67225,0.68279,0.71284,0.92839,0.69864,0.92744,0.76376,0.24064,0.23524,0.24705,0.27707
AFL,1.0,1.0,0.92732,0.92205,0.97573,0.89324,0.90286,0.89409,0.9437,1.0,0.94639,1.0,0.74824,0.16866,0.15802,0.19667,0.16895
AIG,1.0,1.0,0.63364,0.76952,0.84444,0.65761,0.78138,0.76808,0.7665,1.0,0.83559,1.0,0.8248,0.16597,0.17105,0.15326,0.20204
AIZ,1.0,1.0,0.88912,0.87301,0.82451,0.93632,0.76441,0.74927,0.77265,1.0,0.92159,1.0,0.66133,0.15342,0.14067,0.16081,0.2374
AJG,0.91712,1.0,0.84766,0.73181,0.94371,0.70416,0.75779,0.81434,0.68494,0.94917,0.892,1.0,0.92818,0.20982,0.21433,0.1726,0.2494
AKAM,0.87307,1.0,0.85178,0.82881,0.85891,0.77673,0.92214,0.92082,0.87145,0.93992,0.68298,1.0,0.98463,0.21199,0.24207,0.22975,0.16234
ALB,0.84589,0.81527,0.87197,0.75703,0.86434,0.83554,0.85031,0.89084,0.86063,0.63665,0.96469,0.78166,0.83009,0.2059,0.19822,0.2261,0.36978
ALGN,0.90847,0.93538,0.84016,0.83459,0.86932,1.0,0.85705,0.91373,0.94518,0.8221,0.74959,0.89919,0.74563,0.23114,0.22332,0.24599,0.22263
ALLE,0.88694,0.90594,0.62886,0.96284,0.74419,0.72907,0.71306,0.72392,0.7462,0.72398,0.84966,0.76998,0.67711,0.21906,0.23392,0.22553,0.32149
ALL,1.0,1.0,0.91726,0.98237,0.73903,0.94737,0.90469,0.94466,0.91615,1.0,0.83096,1.0,0.7002,0.14704,0.17577,0.19081,0.17868
AMAT,0.91227,0.90117,0.82078,0.8098,0.85504,0.92116,0.90076,0.85572,0.8564,0.7778,0.84767,0.6647,0.83029,0.22702,0.23974,0.27775,0.25549
AMCR,0.79568,0.80588,0.80807,0.85785,0.85356,0.79951,0.77214,0.6091,0.69351,0.80634,0.85905,0.79971,0.90464,0.23588,0.23827,0.28781,0.23804
AMD,0.66484,0.70631,0.96005,0.95422,0.94471,1.0,0.95817,0.95391,0.97556,0.74948,0.96385,0.8789,0.69166,0.22784,0.24373,0.2161,0.23541
AME,0.80585,0.7987,0.81844,0.69417,0.81179,0.80281,0.87843,0.87278,0.88686,0.84669,0.71481,0.93612,0.85598,0.21245,0.20438,0.22995,0.35323
AMGN,0.75309,0.89209,0.97296,0.9563,0.91204,0.93973,0.85529,0.77,0.82434,0.70679,0.71967,0.87779,0.89125,0.26941,0.25988,0.2337,0.237
AMT,0.78611,1.0,0.93673,0.80434,0.96604,0.89627,0.96394,0.94071,0.93535,0.87288,0.71536,1.0,0.70893,0.1965,0.2007,0.20439,0.24456
